"","School.District","DBN","Support_Env","Teach_Eff","Exp_Teach","Coll_Rate","SAT_Math","SAT_Read","Teach_Eff_Num","Borough","PERCENT.RECEIVES.PUBLIC.ASSISTANCE"
"304",21,"21K690",0.68,"Proficient",0.839,0.648,484.3,489.3,2,"Brooklyn",0.21
"305",21,"21K572",0.78,"Proficient",0.885,0.803,492.5,498.5,2,"Brooklyn",0.21
"306",21,"21K337",0.79,"Proficient",0.92,0.438,433.3,395.1,2,"Brooklyn",0.21
"307",21,"21K344",0.72,"Proficient",0.692,0.535,482.3,464.2,2,"Brooklyn",0.21
"308",21,"21K348",0.67,"Developing",0.688,0.618,454.1,436.1,1,"Brooklyn",0.21
"309",21,"21K410",0.72,"Proficient",0.823,0.594,475.1,462.6,2,"Brooklyn",0.21
"310",21,"21K468",0.67,"Well Developed",0.897,0.773,518.4,527.3,3,"Brooklyn",0.21
"311",21,"21K525",0.71,"Proficient",0.904,0.697,531.4,528.1,2,"Brooklyn",0.21
"312",21,"21K540",0.72,"Developing",0.69,0.66,505.2,474,1,"Brooklyn",0.21
"313",21,"21K559",0.57,"Proficient",0.8,0.54,461.1,461.3,2,"Brooklyn",0.21
"314",22,"22K425",0.7,"Developing",0.777,0.784,520.8,498.8,1,"Brooklyn",0.13
"315",22,"22K535",0.75,"Proficient",0.821,0.853,658.1,619.6,2,"Brooklyn",0.13
"316",22,"22K555",0.78,"Well Developed",0.618,0.88,554.5,553.4,3,"Brooklyn",0.13
"317",22,"22K405",0.72,"Proficient",0.794,0.84,586.7,566.8,2,"Brooklyn",0.13
"318",22,"22K611",0.67,"Proficient",0.629,0.7,449.5,453,2,"Brooklyn",0.13
"319",23,"23K493",0.76,"Proficient",0.762,0.542,435.2,439,2,"Brooklyn",0
"320",23,"23K514",0.81,"Proficient",0.727,0.226,421.9,426.8,2,"Brooklyn",0
"321",23,"23K644",0.75,"Proficient",0.585,0.589,457.9,460.1,2,"Brooklyn",0
"322",23,"23K697",0.68,"Developing",0.789,0.466,417.1,447.6,1,"Brooklyn",0
"323",24,"24Q267",0.53,"Developing",0.607,0.62,484.7,491.1,1,"Queens",0
"324",24,"24Q293",0.82,"Proficient",0.743,0.844,497.4,493.1,2,"Queens",0
"325",24,"24Q296",0.85,"Proficient",0.763,0.564,395.6,391.9,2,"Queens",0
"326",24,"24Q610",0.81,"Proficient",0.873,0.919,560.3,528.5,2,"Queens",0
"327",24,"24Q264",0.79,"Proficient",0.848,0.953,539.6,521,2,"Queens",0
"328",24,"24Q485",0.66,"Developing",0.824,0.422,466.8,457.3,1,"Queens",0
"329",24,"24Q520",0.79,"Proficient",0.885,0.861,453.8,459.6,2,"Queens",0
"330",24,"24Q299",0.84,"Well Developed",0.718,0.967,695.1,666.9,3,"Queens",0
"331",24,"24Q455",0.8,"Proficient",0.841,0.604,472.3,456.9,2,"Queens",0
"332",24,"24Q560",0.75,"Proficient",0.878,0.711,517.7,508.2,2,"Queens",0
"333",24,"24Q585",0.77,"Well Developed",0.647,0.881,557.5,544.2,3,"Queens",0
"334",24,"24Q530",0.94,"Well Developed",0.8,0.786,426,412.3,3,"Queens",0
"335",24,"24Q550",0.81,"Proficient",0.863,0.775,493.6,493.1,2,"Queens",0
"336",24,"24Q600",0.74,"Developing",0.835,0.602,477.3,465.6,1,"Queens",0
"337",24,"24Q236",0.84,"Proficient",0.818,0.478,424.9,410.5,2,"Queens",0
"338",25,"25Q241",0.84,"Developing",0.793,0.921,570.2,478.2,1,"Queens",0
"339",25,"25Q252",0.73,"Well Developed",0.76,0.913,544,530.9,3,"Queens",0
"340",25,"25Q240",0.72,"Proficient",0.675,0.675,491.7,494.9,2,"Queens",0
"341",25,"25Q281",0.74,"Proficient",0.639,0.826,564.9,527.9,2,"Queens",0
"342",25,"25Q285",0.68,"Proficient",0.975,0.889,526.9,545.7,2,"Queens",0
"343",25,"25Q425",0.66,"Proficient",0.861,0.593,483.7,475.6,2,"Queens",0
"344",25,"25Q263",0.87,"Proficient",0.9,0.556,462.1,394.2,2,"Queens",0
"345",25,"25Q525",0.86,"Well Developed",0.929,0.986,727.1,687,3,"Queens",0
"346",25,"25Q670",0.75,"Well Developed",0.864,0.667,506.4,488.7,3,"Queens",0
"347",25,"25Q460",0.65,"Developing",0.504,0.411,453.4,450.1,1,"Queens",0
"348",26,"26Q566",0.61,"Proficient",0.828,0.816,481.3,487.4,2,"Queens",0
"349",26,"26Q435",0.64,"Developing",0.924,0.627,467.6,469.8,1,"Queens",0
"350",26,"26Q495",0.69,"Proficient",0.93,0.821,556.2,529.4,2,"Queens",0
"351",26,"26Q315",0.8,"Proficient",0.677,0.809,472.4,487.5,2,"Queens",0
"352",26,"26Q415",0.61,"Proficient",0.816,0.775,578.1,546.8,2,"Queens",0
"353",26,"26Q430",0.77,"Proficient",0.904,0.78,597.7,551.3,2,"Queens",0
"354",27,"27Q480",0.65,"Proficient",0.657,0.471,450.4,455.7,2,"Queens",0.13
"355",27,"27Q650",0.77,"Well Developed",0.815,0.824,547.4,525.3,3,"Queens",0.13
"356",27,"27Q308",0.78,"Well Developed",0.947,0.839,490.8,491.7,3,"Queens",0.13
"357",27,"27Q260",0.62,"Proficient",0.769,0.228,401.7,419.4,2,"Queens",0.13
"358",27,"27Q262",0.72,"Proficient",0.716,0.766,476.5,489.1,2,"Queens",0.13
"359",27,"27Q302",0.8,"Proficient",0.867,0.617,425.8,433.4,2,"Queens",0.13
"360",27,"27Q324",0.68,"Developing",0.917,0.404,448.3,458.2,1,"Queens",0.13
"361",27,"27Q309",0.72,"Developing",0.88,0.706,430.4,442.2,1,"Queens",0.13
"362",27,"27Q314",0.73,"Developing",0.556,0.606,434.2,465.2,1,"Queens",0.13
"363",27,"27Q323",0.78,"Well Developed",0.743,0.973,617.9,608.1,3,"Queens",0.13
"364",27,"27Q475",0.69,"Proficient",0.847,0.566,436.6,441.6,2,"Queens",0.13
"365",27,"27Q334",0.66,"Proficient",0.556,0.762,452.3,470.9,2,"Queens",0.13
"366",27,"27Q351",0.59,"Developing",0.667,0.505,433.1,439.8,1,"Queens",0.13
"367",27,"27Q400",0.72,"Proficient",0.643,0.214,391.2,406.7,2,"Queens",0.13
"368",28,"28Q157",0.78,"Well Developed",0.75,NA,NA,NA,3,"Queens",0.27
"369",28,"28Q690",0.67,"Proficient",0.742,0.656,443.3,455.4,2,"Queens",0.27
"370",28,"28Q167",0.73,"Proficient",0.836,0.827,502.1,513.2,2,"Queens",0.27
"371",28,"28Q284",0.76,"Proficient",0.933,0.94,567.2,553.3,2,"Queens",0.27
"372",28,"28Q310",0.65,"Proficient",0.83,0.723,465.3,462,2,"Queens",0.27
"373",28,"28Q325",0.8,"Well Developed",0.793,0.643,445.8,457.6,3,"Queens",0.27
"374",28,"28Q328",0.71,"Proficient",0.821,0.692,491.2,485.4,2,"Queens",0.27
"375",28,"28Q350",0.77,"Proficient",0.767,0.754,530.2,517.3,2,"Queens",0.27
"376",28,"28Q440",0.61,"Proficient",0.885,0.764,545,528.6,2,"Queens",0.27
"377",28,"28Q505",0.68,"Well Developed",0.874,0.574,464.2,474.8,3,"Queens",0.27
"378",28,"28Q620",0.74,"Proficient",0.85,0.776,564.5,538.9,2,"Queens",0.27
"379",28,"28Q680",0.61,"Proficient",0.7,0.89,600.4,592.3,2,"Queens",0.27
"380",28,"28Q686",0.75,"Proficient",0.882,0.771,516.8,516.7,2,"Queens",0.27
"381",28,"28Q687",0.77,"Proficient",0.815,0.919,758.7,692.8,2,"Queens",0.27
"382",28,"28Q896",0.74,"Proficient",0.914,0.824,546.4,553.5,2,"Queens",0.27
"383",29,"29Q498",0.65,"Proficient",0.846,0.553,421.4,443.3,2,"Queens",0
"384",29,"29Q259",0.66,"Proficient",0.833,0.511,454.5,458.1,2,"Queens",0
"385",29,"29Q243",0.77,"Proficient",0.656,0.739,434.8,459.2,2,"Queens",0
"386",29,"29Q248",0.6,"Proficient",0.792,0.525,443.3,443.8,2,"Queens",0
"387",29,"29Q313",0.77,"Developing",0.9,0.596,430.4,446.2,1,"Queens",0
"388",29,"29Q265",0.69,"Proficient",0.962,0.611,431.4,451.4,2,"Queens",0
"389",29,"29Q272",0.7,"Developing",0.926,0.629,426.5,441.1,1,"Queens",0
"390",29,"29Q283",0.8,"Proficient",0.97,0.739,458.2,461.5,2,"Queens",0
"391",29,"29Q326",0.72,"Proficient",0.75,0.725,444.3,454,2,"Queens",0
"392",29,"29Q327",0.62,"Proficient",0.757,0.709,448.2,456.6,2,"Queens",0
"393",29,"29Q492",0.7,"Proficient",0.625,0.523,439.5,450,2,"Queens",0
"394",30,"30Q258",0.77,"Proficient",0.639,0.844,520.3,509.5,2,"Queens",0.17
"395",30,"30Q445",0.65,"Developing",0.647,0.548,474.4,471.2,1,"Queens",0.17
"396",30,"30Q450",0.66,"Proficient",0.774,0.509,464,474.2,2,"Queens",0.17
"397",30,"30Q286",0.8,"Proficient",0.757,0.924,510.4,526.2,2,"Queens",0.17
"398",30,"30Q301",0.81,"Well Developed",0.824,0.886,517,525.4,3,"Queens",0.17
"399",30,"30Q555",0.79,"Well Developed",0.881,0.5,459,409.9,3,"Queens",0.17
"400",30,"30Q575",0.63,"Proficient",0.833,0.946,571.3,563.1,2,"Queens",0.17
"401",30,"30Q501",0.78,"Proficient",0.941,0.842,547.5,555.9,2,"Queens",0.17
"402",30,"30Q502",0.68,"Developing",0.906,0.646,491.1,475.4,1,"Queens",0.17
"403",30,"30Q580",0.82,"Proficient",0.906,0.895,684.9,664.2,2,"Queens",0.17
"404",31,"31R080",0.69,"Well Developed",0.884,0.918,512.1,515.4,3,"Staten Island",0
"405",31,"31R440",0.66,"Proficient",0.832,0.643,497.9,508.3,2,"Staten Island",0
"406",31,"31R028",0.72,"Developing",0.759,NA,NA,NA,1,"Staten Island",0
"407",31,"31R047",0.8,"Well Developed",0.893,0.925,564.3,566.4,3,"Staten Island",0
"408",31,"31R064",0.7,"Proficient",0.794,0.862,496.6,505.2,2,"Staten Island",0
"409",31,"31R460",0.69,"Proficient",0.865,0.764,521.4,524,2,"Staten Island",0
"410",31,"31R445",0.69,"Developing",0.837,0.502,468.6,468,1,"Staten Island",0
"411",31,"31R450",0.66,"Developing",0.879,0.653,494.4,504,1,"Staten Island",0
"412",31,"31R455",0.68,"Proficient",0.889,0.739,544.9,542.9,2,"Staten Island",0
"413",31,"31R600",0.68,"Developing",0.733,0.438,468.9,476.2,1,"Staten Island",0
"414",31,"31R605",0.86,"Proficient",0.902,0.911,747.5,699.4,2,"Staten Island",0
"415",32,"32K556",0.71,"Proficient",0.571,0.458,403.1,397.8,2,"Brooklyn",0
"416",32,"32K168",0.68,"Proficient",0.65,0.755,506.4,479.3,2,"Brooklyn",0
"417",32,"32K403",0.65,"Proficient",0.857,0.447,410.7,410.4,2,"Brooklyn",0
"418",32,"32K545",0.7,"Proficient",0.784,0.527,417.4,417.9,2,"Brooklyn",0
"419",32,"32K549",0.73,"Proficient",0.613,0.308,400.9,394.7,2,"Brooklyn",0
"420",32,"32K552",0.73,"Proficient",0.7,0.594,438.5,422.1,2,"Brooklyn",0
"421",32,"32K554",0.89,"Well Developed",0.889,0.871,576.1,555.8,3,"Brooklyn",0
